Tanggal,Keterangan,Jumlah,Bank,Cabang
09/21/2012,SETORAN KLIRING #WARKAT L:00 I:01 BIMA MAJU(03583),20500000.00 ,BCA,8285
09/21/2012,SETORAN KLIRING #WARKAT L:00 I:01 SIGMA BLOCK(03323),20125000.00 ,BCA,8285
09/21/2012,SETORAN TUNAI EDY SUWANTO PEMBAYARAN SEMEN NO INV 03493 DARI REZEKI MAKMUR TJB ,20000000.00 ,BCA,0052
09/21/2012,SETORAN WAHIDAH SINAR JAYA( 03637 ),20000000.00 ,BCA,8285
09/21/2012,SETORAN TUNAI MDN JAYA LESTARI (7304)PUTRA JAYA( 6608-2602)USAHABARU(5368) ,4175000.00 ,BCA,8115
09/21/2012,SETORAN TUNAI MARWAN SEMENT 500 SAKUD MARYAM 03448 KSR,20125000.00 ,BCA,0297
09/21/2012,SETORAN TRSF DR 8285010388 PENGEMBALIAN DARI JOHAN,193950000.00 ,BCA,8285
09/21/2012,KR OTOMATIS LLG-BRI KCK SUDIRM UD LINSA / RUDY SIPT GUNUNG PANTARA BARIS 8115054526,17325000.00 ,BCA,0965
